"Order Number ","Reason"," Cancelled By ","Note"," Subtotal Price"," Shipping Cost"," Total Price ","Cancelled Date","Order Date"
"Lvs39387","INVENTORY","Randa","طلب العميلة بالالغاء","642.6","50","692.6","2024-11-30 08:41:12","2024-11-29 09:31:31"
"Lvs39414","INVENTORY","Randa","طلب العميلة بالالغاء","1274.4","60","1334.4","2024-11-30 08:35:07","2024-11-29 09:31:38"
"Lvs38506","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ومشعايزة بدايل","1184.9","50","1234.9","2024-11-30 08:19:27","2024-11-26 14:16:12"
"Lvs37828","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","875.9","80","955.9","2024-11-30 08:18:06","2024-11-24 10:18:10"
"Lvs38709","INVENTORY","Randa","طلب العميلة بالالغاء","841.5","50","891.5","2024-11-30 07:53:37","2024-11-27 10:08:10"
"Lvs38572","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","1189.7","50","1239.7","2024-11-30 07:46:10","2024-11-26 18:28:03"
"Lvs38187","INVENTORY","Randa","طلب العميلة بالالغاء","2040","80","2120","2024-11-29 14:59:23","2024-11-25 13:19:57"
"Lvs37894","INVENTORY","Randa","طلب العميلة بالالغاء","642.6","50","692.6","2024-11-29 14:44:17","2024-11-24 10:18:23"
"Lvs38941","INVENTORY","Noor","نواقص محتاجة نفس الاوردر","283.5","60","343.5","2024-11-29 14:10:02","2024-11-28 10:21:32"
"Lvs38997","CUSTOMER_REQUEST","Noor","مكرر","2160","60","2220","2024-11-29 14:04:01","2024-11-28 10:21:48"
"Lvs38975","INVENTORY","Noor","نواقص طالبه اوردر تانى","1461.6","60","1521.6","2024-11-29 14:03:02","2024-11-28 10:21:40"
"Lvs38823","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","468","50","518","2024-11-29 14:00:00","2024-11-27 15:21:25"
"Lvs38816","OTHER","Nermin ","ملغي لعدم وجود رد","429.3","80","509.3","2024-11-29 13:33:01","2024-11-27 15:07:10"
"Lvs39125","INVENTORY","Randa","طلب العميلة بالالغاء","550","50","600","2024-11-29 13:06:23","2024-11-28 15:07:00"
"Lvs38891","INVENTORY","Randa","طلب العميلة بالالغاء","408","50","458","2024-11-29 12:34:41","2024-11-27 18:43:51"
"Lvs38783","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة  من الانستجرام","468","50","518","2024-11-29 10:54:28","2024-11-27 13:20:37"
"Lvs38967","INVENTORY","Noor","نواقص محتاجة نفس الاوردر","275.4","80","355.4","2024-11-29 10:39:06","2024-11-28 10:21:40"
"Lvs38255","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","541.8","60","601.8","2024-11-29 09:27:42","2024-11-26 10:19:46"
"Lvs38682","REPEATED_ORDER","Fatma","ملغي مكرر","126","50","176","2024-11-28 22:32:04","2024-11-28 17:23:11"
"Lvs38680","REPEATED_ORDER","Fatma","ملغي مكرر","198","50","248","2024-11-28 22:30:12","2024-11-28 17:30:59"
"Lvs38012","REPEATED_ORDER","Fatma","ملغي مكرر","431","50","481","2024-11-28 22:26:26","2024-11-24 20:10:29"
"Lvs39119","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","442","50","492","2024-11-28 15:40:48","2024-11-28 15:07:00"
"Lvs38751","REPEATED_ORDER","Fatma","ملغي مكرر","790","60","850","2024-11-28 15:40:32","2024-11-27 12:15:21"
"Lvs38999","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","468","50","518","2024-11-28 15:35:39","2024-11-28 10:21:48"
"Lvs37990","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","750","0","750","2024-11-28 15:19:51","2024-11-24 17:54:04"
"Lvs38740","INVENTORY","Randa","طلب العميلة بالالغاء","527.4","50","577.4","2024-11-28 13:53:48","2024-11-27 12:15:10"
"Lvs38243","INVENTORY","Nermin ","ملغي برغبة العميلة","1680","80","1760","2024-11-28 13:39:25","2024-11-26 10:19:46"
"Lvs38307","INVENTORY","Randa","طلب العميلة بالالغاء","1912.8","80","1992.8","2024-11-28 13:31:34","2024-11-26 10:19:55"
"Lvs35263","INVENTORY","Randa","طلب العميلة بالالغاء","200","50","250","2024-11-28 13:20:23","2024-11-13 12:18:30"
"Lvs38829","REPEATED_ORDER","Fatma","ملغي مكرر","4770.8","80","4850.8","2024-11-28 13:17:55","2024-11-27 17:33:18"
"Lvs38430","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","688","50","738","2024-11-28 13:17:34","2024-11-26 10:20:14"
"Lvs38746","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","527","95","622","2024-11-28 12:55:15","2024-11-27 12:15:21"
"Lvs38116","INVENTORY","Randa","طلب العميلة بالالغاء","1414","80","1494","2024-11-28 12:30:48","2024-11-25 10:24:58"
"Lvs38977","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","383","50","433","2024-11-28 12:17:12","2024-11-28 10:21:40"
"Lvs38908","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","992","80","1072","2024-11-28 11:33:42","2024-11-28 10:21:32"
"Lvs38853","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","510","50","560","2024-11-28 10:48:32","2024-11-27 16:33:10"
"Lvs38431","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","555","50","605","2024-11-28 10:48:27","2024-11-26 10:20:14"
"Lvs38924","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","516","60","576","2024-11-28 10:28:41","2024-11-28 10:21:32"
"Lvs38826","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","810","90","900","2024-11-28 10:06:38","2024-11-27 15:43:31"
"Lvs38204","INVENTORY","Randa","طلب العميلة بالالغاء","500","60","560","2024-11-28 10:01:45","2024-11-25 14:11:56"
"Lvs38778","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","752.8","60","812.8","2024-11-28 09:57:12","2024-11-27 13:03:21"
"Lvs38764","INVENTORY","Randa","طلب العميلة بالالغاء","527","50","577","2024-11-28 09:50:38","2024-11-27 12:15:21"
"Lvs38819","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","305.1","50","355.1","2024-11-28 08:49:07","2024-11-27 15:07:10"
"Lvs37253","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","1466.4","60","1526.4","2024-11-28 08:33:32","2024-11-23 16:39:19"
"Lvs38622","CUSTOMER_REQUEST","Haimaa Gamal","هتروح الفرع","442","60","502","2024-11-28 08:25:45","2024-11-27 10:08:01"
"Lvs38771","INVENTORY","Nermin ","ملغي برغبة العميلة","1530.4","50","1580.4","2024-11-28 08:21:14","2024-11-27 12:15:21"
"Lvs38522","INVENTORY","Randa","طلب العميلة بالالغاء","995","95","1090","2024-11-28 08:20:23","2024-11-26 17:48:55"
"Lvs38640","REPEATED_ORDER","Nermin ","عملت اوردر تاني","1003.3","60","1063.3","2024-11-28 07:56:47","2024-11-27 10:08:01"
"Lvs38768","INVENTORY","Randa","طلب العميلة بالالغاء","468","50","518","2024-11-27 21:45:33","2024-11-27 12:15:21"
"Lvs38327","INVENTORY","Randa","طلب العميلة بالالغاء","468","50","518","2024-11-27 20:55:10","2024-11-26 10:19:55"
"Lvs38737","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","685.95","50","735.95","2024-11-27 18:34:06","2024-11-27 12:15:10"
"Lvs38612","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","490","80","570","2024-11-27 15:29:30","2024-11-27 10:07:53"
"Lvs38057","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل   اشترت من الفرع","1671.2","80","1751.2","2024-11-27 15:13:41","2024-11-25 17:09:25"
"Lvs38761","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","948.6","80","1028.6","2024-11-27 15:09:28","2024-11-27 12:15:21"
"Lvs38559","INVENTORY","Randa","طلب العميلة بالالغاء","403.2","50","453.2","2024-11-27 15:05:48","2024-11-26 17:48:57"
"Lvs38533","INVENTORY","Randa","طلب العميلة بالالغاء","1610","60","1670","2024-11-27 15:02:46","2024-11-26 17:48:55"
"Lvs37955","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","1410","80","1490","2024-11-27 14:49:58","2024-11-26 11:26:16"
"Lvs38097","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","445","50","495","2024-11-27 14:46:07","2024-11-26 16:51:12"
"Lvs36229","REPEATED_ORDER","Fatma","ملغي مكرر","815","80","895","2024-11-27 14:45:50","2024-11-24 17:32:48"
"Lvs38469","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2412","50","2462","2024-11-27 14:45:34","2024-11-27 15:34:19"
"Lvs37557","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","1429.2","50","1479.2","2024-11-27 14:44:58","2024-11-27 15:31:02"
"Lvs38530","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","480","80","560","2024-11-27 14:43:10","2024-11-26 17:48:55"
"Lvs37015","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2382","95","2477","2024-11-27 14:42:41","2024-11-27 15:16:19"
"Lvs38117","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","309","60","369","2024-11-27 14:42:12","2024-11-26 11:37:54"
"Lvs37739","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","1076","90","1166","2024-11-27 14:41:49","2024-11-24 10:49:38"
"Lvs38181","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","775","50","825","2024-11-27 14:41:20","2024-11-25 13:19:57"
"Lvs38356","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ووفرنالها قطعة ومش عايزة تختار بدايل","660","50","710","2024-11-27 13:48:58","2024-11-26 10:20:06"
"Lvs38361","INVENTORY","Randa","طلب العميلة بالالغاء","1159.2","50","1209.2","2024-11-27 13:38:24","2024-11-26 10:20:06"
"Lvs38261","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ومش عايزة بدايل","383","50","433","2024-11-27 13:00:18","2024-11-26 10:19:46"
"Lvs38508","INVENTORY","Randa","طلب العميلة بالالغاء","880","0","880","2024-11-27 12:01:29","2024-11-26 17:48:55"
"Lvs38259","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ومش عايزة بدايل","950","50","1000","2024-11-27 11:23:43","2024-11-26 10:19:46"
"Lvs38704","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","676.8","90","766.8","2024-11-27 10:03:52","2024-11-27 10:08:10"
"Lvs38318","INVENTORY","Randa","طلب العميلة بالالغاء","527","80","607","2024-11-27 09:40:35","2024-11-26 10:19:55"
"Lvs38549","BROUGHT_FROM_STORE","Nermin ","ملغي اشترت من الفرع","1167.05","50","1217.05","2024-11-27 09:18:47","2024-11-26 17:48:55"
"Lvs38481","INVENTORY","Randa","طلب العميلة بالالغاء","527","50","577","2024-11-27 09:17:26","2024-11-26 12:58:44"
"Lvs38485","INVENTORY","Randa","طلب العميلة بالالغاء","948.6","80","1028.6","2024-11-27 09:03:50","2024-11-26 12:58:44"
"Lvs38644","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","320","50","370","2024-11-27 09:01:08","2024-11-27 10:08:01"
"Lvs38686","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","750","60","810","2024-11-27 08:50:06","2024-11-27 10:08:10"
"Lvs38649","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","750","50","800","2024-11-27 08:46:50","2024-11-27 10:08:01"
"Lvs38560","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","442","50","492","2024-11-27 08:45:19","2024-11-26 17:48:57"
"Lvs38222","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بديل","425","50","475","2024-11-26 15:39:35","2024-11-26 10:19:39"
"Lvs38495","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","1100","95","1195","2024-11-26 15:22:53","2024-11-26 14:16:12"
"Lvs38040","INVENTORY","Nermin ","ملغي برغبة العميلة","1034.45","60","1094.45","2024-11-26 15:04:04","2024-11-25 10:24:50"
"Lvs38403","INVENTORY","Randa","طلب العميلة بالالغاء","800","50","850","2024-11-26 14:52:15","2024-11-26 10:20:14"
"Lvs37935","INVENTORY","Nermin ","ملغي مش عايزة تختار بدايل","400","50","450","2024-11-26 14:43:45","2024-11-24 13:15:23"
"Lvs37967","OTHER","Nermin ","ملغي لعدم وجود رد","75","80","155","2024-11-26 14:33:52","2024-11-24 15:23:47"
"Lvs38076","OTHER","Nermin ","ملغي لعدم وجود رد","995.35","50","1045.35","2024-11-26 14:33:10","2024-11-25 10:24:50"
"Lvs38401","INVENTORY","Randa","طلب العميلة بالالغاء","1464.55","90","1554.55","2024-11-26 13:53:01","2024-11-26 10:20:14"
"Lvs37075","INVENTORY","Noor","لعدم رد العميلة على الموبايل و واتساب","3066.4","50","3116.4","2024-11-26 13:48:23","2024-11-21 08:32:04"
"Lvs38394","CUSTOMER_REQUEST","Noor","مكرر","357","50","407","2024-11-26 13:34:54","2024-11-26 10:20:14"
"Lvs38414","CUSTOMER_REQUEST","Noor","رغبة العميلة  هتشترى من الفرع","1376","90","1466","2024-11-26 13:31:37","2024-11-26 10:20:14"
"Lvs38103","INVENTORY","Randa","طلب العميلة بالالغاء","395.2","80","475.2","2024-11-26 13:10:48","2024-11-25 10:24:58"
"Lvs38409","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","640","95","735","2024-11-26 12:56:26","2024-11-26 10:20:14"
"Lvs37876","INVENTORY","Randa","طلب العميلة بالالغاء","104","90","194","2024-11-26 12:02:08","2024-11-24 10:18:18"
"Lvs38125","BROUGHT_FROM_STORE","Nermin ","ملغي اشترت من الفرع","1623.2","50","1673.2","2024-11-26 11:36:32","2024-11-25 10:24:58"
"Lvs38217","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","65","60","125","2024-11-26 10:28:49","2024-11-26 10:19:39"
"Lvs38302","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","795.6","60","855.6","2024-11-26 09:16:10","2024-11-26 10:19:55"
"Lvs38392","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","850","50","900","2024-11-26 08:59:36","2024-11-26 10:20:06"
"Lvs38404","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","675","80","755","2024-11-26 08:57:44","2024-11-26 10:20:14"
"Lvs38278","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","365.5","60","425.5","2024-11-26 08:39:46","2024-11-26 10:19:46"
"Lvs34223","REPEATED_ORDER","Fatma","ملغي مكرر","450","80","530","2024-11-25 16:03:14","2024-11-07 15:41:56"
"Lvs33105","INVENTORY","Randa","طلب العميلة بالالغاء","891","60","951","2024-11-25 15:40:43","2024-11-02 12:22:17"
"Lvs36513","REPEATED_ORDER","Fatma","ملغي  مكرر","1078","60","1138","2024-11-25 15:05:06","2024-11-19 08:41:29"
"Lvs35395","REPEATED_ORDER","Fatma","ملغي مكرر","623.6","60","683.6","2024-11-25 15:02:33","2024-11-20 11:59:16"
"Lvs34830","REPEATED_ORDER","Fatma","ملغي مكرر","121.5","50","171.5","2024-11-25 14:59:30","2024-11-10 10:31:07"
"Lvs34668","REPEATED_ORDER","Fatma","ملغي مكرر","2529.2","90","2619.2","2024-11-25 14:58:08","2024-11-10 09:43:30"
"Lvs34433","REPEATED_ORDER","Fatma","ملغي مكرر","1762.5","95","1857.5","2024-11-25 14:52:31","2024-11-10 14:19:51"
"Lvs34267","REPEATED_ORDER","Fatma","اوردر ملغي","1476","50","1526","2024-11-25 14:46:36","2024-11-08 08:56:06"
"Lvs34194","REPEATED_ORDER","Fatma","ملغي مكرر","856","50","906","2024-11-25 13:41:40","2024-11-07 14:12:41"
"Lvs34185","REPEATED_ORDER","Fatma","ملغي مكرر","4688","50","4738","2024-11-25 13:37:09","2024-11-08 13:32:28"
"Lvs34090","REPEATED_ORDER","Fatma","ملغي مكرر \"",911.20,50.00,961.20,2024-11-25 13:35:57""","2024-11-07 10:11:48","","","",""
"Lvs34006","REPEATED_ORDER","Fatma","ملغي مكرر","1415.2","50","1465.2","2024-11-25 13:34:44","2024-11-07 10:11:30"
"Lvs36729","REPEATED_ORDER","Randa","تم عمل اوردر اخر","1108.4","50","1158.4","2024-11-25 13:34:40","2024-11-25 12:10:15"
"Lvs33918","REPEATED_ORDER","Fatma","ملغي مكرر","2096","50","2146","2024-11-25 13:33:45","2024-11-07 16:45:28"
"Lvs33872","REPEATED_ORDER","Fatma","ملغي اكدنا اوردر تاني","634.5","50","684.5","2024-11-25 13:32:04","2024-11-06 10:13:15"
"Lvs38070","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة  مش عايزة البديل","675","50","725","2024-11-25 13:07:47","2024-11-25 10:24:50"
"Lvs37812","INVENTORY","Nermin ","ملغي بعتلها بدايل لكن مش مناسبة معاها","460","50","510","2024-11-25 12:13:10","2024-11-24 10:18:10"
"Lvs37745","INVENTORY","Randa","طلب العميلة بالالغاء","200","50","250","2024-11-25 12:09:20","2024-11-23 17:00:05"
"Lvs37979","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","383","50","433","2024-11-25 12:00:17","2024-11-24 17:54:04"
"Lvs37545","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","330","1434","1764","2024-11-25 11:24:17","2024-11-22 22:52:22"
"Lvs37869","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود القطعة","470","90","560","2024-11-25 10:37:38","2024-11-24 10:18:18"
"Lvs37996","INVENTORY","Nermin ","ملغي مش عايزة بدايل","320","50","370","2024-11-25 10:26:00","2024-11-24 17:54:04"
"Lvs37377","INVENTORY","Randa","طلب العميلة بالالغاء","1199.7","90","1289.7","2024-11-25 10:17:17","2024-11-22 10:49:01"
"Lvs38055","CUSTOMER_REQUEST","Noor","رغبة العميلة","249.9","60","309.9","2024-11-25 09:43:14","2024-11-25 10:24:50"
"Lvs37805","INVENTORY","Noor","رغبة العميلة  طلبت الالغاء على الميل","270","80","350","2024-11-25 08:05:13","2024-11-24 10:18:10"
"Lvs37502","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","1282.6","90","1372.6","2024-11-24 15:55:58","2024-11-22 19:02:28"
"Lvs37857","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","800","50","850","2024-11-24 15:44:29","2024-11-24 10:18:18"
"Lvs37818","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الميل","1800","80","1880","2024-11-24 15:42:18","2024-11-24 10:18:10"
"Lvs37620","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","1032.8","90","1122.8","2024-11-24 15:22:12","2024-11-23 09:46:27"
"Lvs37319","INVENTORY","Randa","طلب العميلة بالالغاء","2700.8","50","2750.8","2024-11-24 15:02:51","2024-11-22 01:30:41"
"Lvs37720","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","1416","60","1476","2024-11-24 14:59:13","2024-11-23 17:00:05"
"Lvs36790","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","1406.75","50","1456.75","2024-11-24 14:41:57","2024-11-20 10:18:35"
"Lvs37761","BROUGHT_FROM_STORE","Nermin ","ملغي برغبة العميلة","750","50","800","2024-11-24 14:17:18","2024-11-24 10:18:00"
"Lvs37749","INVENTORY","Randa","طلب العميلة بالالغاء","1228.5","80","1308.5","2024-11-24 13:35:27","2024-11-23 17:00:05"
"Lvs37944","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","962.4","80","1042.4","2024-11-24 13:22:11","2024-11-24 14:07:11"
"Lvs37710","INVENTORY","Randa","طلب العميلة بالالغاء","1330.2","80","1410.2","2024-11-24 12:01:05","2024-11-23 14:17:56"
"Lvs37790","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","642.6","50","692.6","2024-11-24 11:51:16","2024-11-24 10:18:00"
"Lvs37901","CUSTOMER_REQUEST","Fatma","ملغي بطلب العميله","1260","50","1310","2024-11-24 11:50:29","2024-11-24 10:18:23"
"Lvs37250","INVENTORY","Randa","طلب العميلة بالالغاء","675","80","755","2024-11-24 10:39:31","2024-11-21 20:01:18"
"Lvs37382","INVENTORY","Randa","طلب العميلة بالالغاء","191.25","60","251.25","2024-11-24 10:34:41","2024-11-22 10:49:06"
"Lvs37848","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","704.7","50","754.7","2024-11-24 10:00:48","2024-11-24 10:18:18"
"Lvs37718","CUSTOMER_REQUEST","Nermin ","ملغي بطلب من العميلة علي الميل","210","50","260","2024-11-24 09:52:36","2024-11-23 17:00:05"
"Lvs37718","CUSTOMER_REQUEST","Nermin ","ملغي بطلب من العميلة علي الميل","210","50","260","2024-11-24 09:52:36","2024-11-23 17:00:05"
