"Order Number ","Reason"," Cancelled By ","Note"," Subtotal Price"," Shipping Cost"," Total Price ","Cancelled Date","Order Date"
"Lvs42857","CUSTOMER_REQUEST","Samar Hamdy","ملغي برغبة العميله","115","50","165","2024-12-14 12:05:03","2024-12-13 19:59:24"
"Lvs42778","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","527","50","577","2024-12-14 12:00:34","2024-12-12 16:22:46"
"Lvs43000","INVENTORY","Randa","طلب العميلة بالالغاء","675","50","725","2024-12-14 11:59:32","2024-12-13 19:59:41"
"Lvs42919","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","950","50","1000","2024-12-14 11:58:51","2024-12-13 19:59:32"
"Lvs42860","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","280","60","340","2024-12-14 11:57:21","2024-12-13 19:59:24"
"Lvs43038","INVENTORY","Nermin ","ملغي لعدم وجود القطعة  ومش عايزة بدايل","527","80","607","2024-12-14 11:52:51","2024-12-14 10:02:43"
"Lvs42828","INVENTORY","Randa","طلب العميلة بالالغاء","851","50","901","2024-12-14 10:59:36","2024-12-13 19:59:18"
"Lvs42803","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","685","90","775","2024-12-14 10:50:27","2024-12-12 17:14:20"
"Lvs42818","INVENTORY","Randa","طلب العميلة بالالغاء","357","50","407","2024-12-14 10:45:39","2024-12-12 18:12:18"
"Lvs42883","INVENTORY","Randa","طلب العميلة بالالغاء","1100","50","1150","2024-12-14 10:44:48","2024-12-13 19:59:32"
"Lvs42825","INVENTORY","Randa","طلب العميلة بالالغاء","580","50","630","2024-12-14 10:39:03","2024-12-13 19:59:18"
"Lvs42983","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بديل","190","50","240","2024-12-14 10:33:41","2024-12-13 19:59:41"
"Lvs42788","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بدايل","527","80","607","2024-12-14 10:30:50","2024-12-12 16:22:46"
"Lvs42830","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","240","80","320","2024-12-14 10:04:48","2024-12-13 19:59:18"
"Lvs42833","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بدايل","580","50","630","2024-12-14 09:57:32","2024-12-13 19:59:24"
"Lvs42957","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","490","50","540","2024-12-14 09:43:25","2024-12-13 19:59:38"
"Lvs42917","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","1100","2271","3371","2024-12-14 09:26:10","2024-12-13 19:59:32"
"Lvs42796","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","480","50","530","2024-12-14 09:13:10","2024-12-12 16:56:58"
"Lvs42781","INVENTORY","Randa","طلب العميلة بالالغاء","468","50","518","2024-12-14 08:49:51","2024-12-12 16:22:46"
"Lvs42597","INVENTORY","Randa","طلب العميلة بالالغاء","490","80","570","2024-12-14 08:42:00","2024-12-11 16:56:55"
"Lvs42783","INVENTORY","Randa","طلب العميلة بالالغاء","240","50","290","2024-12-14 07:49:27","2024-12-12 16:22:46"
